Category ,JSON,Key ,English (John edit),Vietnamese,Korean,Thai,French,Japanese,Indonesian,German,Spanish
,nft,TITLE.CHARACTER,Character,Đặc tính,캐릭터,คาแรคเตอร์,Caractère,文字,Karakter,Charakter,Personaje
,nft,MSG.MISSING_NAME,Missing name,Thiếu tên,누락된 이름,ไม่มีชื่อ,Nom manquant,名前がありません,Nama yang hilang,Name fehlt,Falta el nombre
,nft,PLACEHOLDER.MALE,Male,Nam giới,남성,ผู้ชาย,Homme,男性,Laki-laki,Männlich,Masculino
,nft,TITLE.ROYALTY_FEE,ROYALTY FEE,,로열티,,REDEVANCE,ロイヤリティ手数料,BIAYA ROYALTI,LIZENZGEBÜHR,TASA DE REGALÍAS
,nft,TEXT.CREATOR_EARNING,Artist earning,,아티스트 수익,,Gain du créateur,クリエイターの収入,Penghasilan kreator,Einnahmen des Schöpfers,Ganancias del creador
,nft,TITLE.FIXED_PRICE_FINISH,Fix price finish,,고정 가격 마감,,Fin du prix fixe,固定価格終了,Perbaiki Harga Selesai,Festpreisende,Finalización del precio fijo
,nft,TEXT.FIXED_PRICE_FINISH_DESC,"When your NFT is purchased, NFT royalty and service fee will be deducted",,NFT를 구매하면 NFT 로열티와 서비스 수수료가 공제됩니다,,"Lorsque votre NFT est acheté, la redevance NFT et les frais de service sont déduits",NFTを購入すると、NFTのロイヤリティとサービス料が差し引かれます,"Ketika NFT Anda dibeli, royalti NFT dan biaya Layanan akan dipotong","Wenn Ihr NFT gekauft wird, werden NFT-Lizenzgebühren und Servicegebühr abgezogen","Cuando tu NFT es comprado, se deducirá la regalía del NFT y la tarifa de servicio"
,nft,TITLE.AUCTION_LISTING,Auction listing,,경매 리스팅,,Liste des enchères,オークション出品,Daftar lelang,Auktionsliste,Listado de subasta
,nft,TITLE.AUCTION_FINISH,Auction finish,,경매 완료,,Fin des enchères,オークション終了,Lelang selesai,Auktionsende,Finalización de la subasta
,nft,TEXT.AUCTION_LISTING_DESC,This is the service fee for Auction Listing,,경매 리스팅에 대한 서비스 수수료입니다.,,Il s'agit des frais de service pour l'inscription à la vente aux enchères,オークション出品にかかる手数料です。,Ini adalah biaya layanan untuk Daftar Lelang,Dies ist die Servicegebühr für die Auktionsliste,Esta es la tarifa de servicio para el listado de la subasta
,nft,TEXT.AUCTION_FINISH_DESC,"When your Auction is finished, NFT royalty and service fee will be deducted from Top Offer",,경매가 완료되면 NFT 로열티와 서비스 수수료가 제안 최고가에서 차감됩니다,,"Lorsque votre enchère est terminée, la redevance NFT et les frais de service sont déduits de l'offre la plus élevée",オークションが終了すると、NFTのロイヤリティとサービス料がトップオファーから差し引かれます。,"Ketika Lelang Anda selesai, royalti NFT dan Biaya Layanan akan dipotong dari Penawaran Tertinggi","Wenn Ihre Auktion beendet ist, werden NFT-Royalty und Servicegebühr vom Top-Angebot abgezogen","Cuando tu subasta ha terminado, la regalía del NFT y la tarifa de servicio se deducirán de la Mejor Oferta"
,nft,TEXT.TOTAL_ROYALTY_AND_SERVICE_FEE,Total of NFT royalty and service fee,,NFT 로열티 및 서비스 수수료 합계,,Le total de la redevance NFT et des frais de service,NFTのロイヤリティとサービス料の合計,Total royalti NFT dan biaya Layanan,Die Gesamtsumme der NFT-Royalty und Servicegebühr,El total de la regalía del NFT y la tarifa de servicio
,nft,TEXT.CREATE_NFT_SUCCESSFULLY,Create new NFT successful,,새로운 NFT 생성 성공,,Nouveau NFT créé avec succès !,新しいNFTが正常に作成されました！,Berhasil membuat NFT baru!,Neuen NFT erfolgreich erstellt!,¡Crear nuevo NFT con éxito!
,nft,TITLE.CREATOR_ROYALTY,Artist Royalty,,아티스트 로열티,,Redevance du créateur,クリエイターのロイヤリティ,Royalti Pencipta,Schöpfer-Royalty,Regalía del creador
,nft,TEXT.CREATOR_EARNING_BONUS,Artist Royalty Earning Bonus,,아티스트 로열티 보너스 수익,,Bonus de gain de la redevance du créateur,クリエイターズロイヤリティ獲得ボーナス,Bonus penghasilan Royalti Kreator,Bonus für Schöpfer-Royalty-Einnahmen,Bono de ganancias de la regalía del creador
,nft,TITLE.PREVIEW_IMAGE,Preview Image,Ảnh xem trước,미리보기 이미지,ภาพตัวอย่าง,Image de prévisualisation,プレビュー画像,Pratinjau Gambar,Vorschaubild,Imagen de previsualización
,nft,TEXT.PREVIEW_IMAGE_LABEL,"Because you've included videos, you'll need to provide an image (PNG, JPG, or JPEG) for the card display of your item. Max size: 100MB",,"동영상을 포함했으므로 표시할 미리보기 이미지(PNG, JPG 또는 JPEG)를 제공해야 합니다. 최대 크기: 100MB",,"Comme vous avez inclus des vidéos, vous devez fournir une image (PNG, JPG ou JPEG) pour l'affichage de la carte de votre article. Taille maximale : 100 Mo",動画が含まれているため、アイテムのカード表示用の画像（PNG、JPG、JPEG）を提供する必要があります。最大サイズ:100MB,"Karena Anda menyertakan video, Anda harus menyediakan gambar (PNG, JPG, atau JPEG) untuk tampilan kartu item Anda. Ukuran maks: 100MB","Da Sie Videos eingefügt haben, müssen Sie ein Bild (PNG, JPG oder JPEG) für die Kartendarstellung Ihres Artikels bereitstellen. Maximale Größe: 100MB","Debido a que has incluido videos, necesitarás proporcionar una imagen (PNG, JPG o JPEG) para la visualización de la tarjeta de tu artículo. Tamaño máximo: 100MB"
NFT Detail,nftDetail,INFO.TITLE,INFO,THÔNG TIN,정보,ข้อมูล,INFOS,情報,INFO,INFO,INFO
,nftDetail,INFO.TOKEN_ID,Token ID,ID mã token,토큰 ID,Token ID,ID du token,トークンID,ID Token,Token-ID,ID del token
,nftDetail,INFO.CONTRACT,Contract,Hợp đồng,계약,สัญญา,Contrat,契約,Kontrak,Vertrag,Contrato
,nftDetail,INFO.BLOCKCHAIN,Blockchain,Chuỗi khối,블록체인,Blockchain,Blockchain,ブロックチェーン,Blockchain,Blockchain,Blockchain
,nftDetail,INFO.TOKEN_STANDARD,Token standard,Tiêu chuẩn mã token,표준 토큰,มาตรฐาน Token,Standard du token,トークンスタンダード,Standar token,Token-Standard,Estándar de tokens
,nftDetail,INFO.CREATOR_ROYALTIES,Artist Royalties,Bản quyền của nhà sáng tạo,아티스트 로열티,ค่าสิทธิของผู้สร้าง,Redevances du créateur,クリエイターロイヤリティ,Royalti pencipta,Schöpfer-Royalties,Regalías del creador
,nftDetail,INFO.CATEGORY,CATEGORY,PHÂN LOẠI,카테고리,หมวดหมู่,CATÉGORIE,カテゴリー,KATEGORI,KATEGORIE,CATEGORÍA
,nftDetail,INFO.HASHTAG,HASHTAG,HASHTAG,해시태그,แฮชแท็ก,HASHTAG,ハッシュタグ,TAGAR,HASHTAG,HASHTAG
,nftDetail,INFO.NO_OFFER,No Offer,Không có phiếu mua hàng,입찰 없음,ไม่มีข้อเสนอ,Pas d'offre,オファーなし,Tidak ada penawaran,Kein Angebot,Sin oferta
,nftDetail,MORE_FROM_THIS_COLLECTION,More from this Collection,Thêm từ bộ sưu tập này,이 컬렉션에서 더 보기,ดูเพิ่มเติมจากคอลเลคชั่นนี้,Plus de cette collection,このコレクションの詳細,Lainnya dari koleksi ini,Mehr aus dieser Sammlung,Más de esta colección
,common,BUTTON.PREVIEW,Preview,Xem trước,미리보기,"ตัวอย่าง (preview n.), ดูตัวอย่าง (v.)",Aperçu,プレビュー,Pratinjau,Vorschau,Previsualización
,common,PLACEHOLDER.ALL_ACTIVITIES,All Activities,Tất cả các hoạt động,모든 활동,กิจกรรมทั้งหมด,Toutes les activités,すべてのアクティビティ,Semua Aktivitas,Alle Aktivitäten,Todas las actividades
,nftDetail,TITLE.LISTING,Listing,Danh sách,리스팅(입찰),สินค้าที่ลงขาย,Liste des activités,出品,Daftar,Auflistung,Listado
,nftDetail,TITLE.TRANSFER,Transfer,Chuyển khoản,전송,โอน,Transférer,転送,Transfer,Übertragung,Transferencia
,nftDetail,TITLE.BUY_NFT,Buy NFT,Mua NFT,NFT 구매,ชื้อ NFT,Acheter NFT,NFTを購入,Beli NFT,NFT kaufen,Comprar NFT
,nftDetail,TITLE.MAKE_OFFER,Make Offer,Đưa ra đề nghị,입찰 생성,ทำการเสนอ,Faire une offre,オファーを提示,Buat Penawaran,Angebot machen,Hacer oferta
,nftDetail,TITLE.RE_OFFER,Re-Offer,Đề nghị lại,재입찰,เสนออีกครั้ง,Refaire une offre,再オファー,Penawaran Ulang,Neuangebot,Reofertar
,nftDetail,TITLE.PLACE_BID,Place Bid,Đặt giá thầu,입찰하기,เสนอราคาประมูล,Faire une offre,入札,Pasang Tawaran,Gebot abgeben,Hacer una puja
,nftDetail,TITLE.CANCEL_LISTING,Cancel Listing,Hủy bỏ danh sách,판매(입찰) 취소,ยกเลิกการลงขาย,Annuler l'inscription,出品をキャンセル,Batalkan Pencatatan,Listing stornieren,Cancelar el listado
,nftDetail,TITLE.ABOUT,ABOUT,VỀ,정보,เกี่ยวกับ,À PROPOS,概要,TENTANG,ÜBER,ACERCA DE
,nftDetail,TITLE.OFFERS,OFFERS,ƯU ĐÃI,제안,ข้อเสนอ,OFFRES,オファー,PENAWARAN,ANGEBOTE,OFERTAS
,nftDetail,TITLE.HISTORY,HISTORY,LỊCH SỬ,내역,ประวัติ,HISTOIRE,履歴,RIWAYAT,HISTORIE,HISTORIA
,nftDetail,ITEM_EXPIRE_ON,Item expired on,Mặt hàng đã hết hạn vào,아이템 만료일,ไอเทมหมดอายุ,L'article a expiré le,アイテムの有効期限：,Item kedaluwarsa pada,Artikel abgelaufen am,Artículo expirado el
,nftDetail,AT,at,tại,at,ที่,à,で,di,um,a las
,nftDetail,TEXT.MINTED_ON,Minted on,Được tạo trên,Minted on,Mint ผ่าน,Imprimé le,ミント日：,Dicetak pada,Geprägt am,Acuñado el
,nftDetail,BUTTON.SEE_TRANSLATION,See translation,Xem bản dịch,번역보기,ดูทำแปล,Voir la traduction,翻訳を見る,Lihat terjemahan,Übersetzung anzeigen,Ver traducción
,nftDetail,BUTTON.SEE_ORIGINAL,See original,Xem bản gốc,원문보기,ดูต้นฉบับ,Voir l'original,オリジナルを見る,Lihat aslinya,Original anzeigen,Ver original
,nftDetail,TEXT.LIKES,Likes,Lượt thích,좋아요,"ถูกใจ (like), ถูกใจทั้งหมด (total likes)",Likes,いいね,Suka,Likes,Me gusta
,nftDetail,TEXT.VIEWS,Views,Lượt xem,조회수,ยอดวิว,Vues,表示,Tampilan,Aufrufe,Vistas
,nftDetail,TEXT.SHARES,Shares,Lượt chia sẻ,공유,"แชร์ (share), ยอดแชร์ (total shares)",Actions,共有,Berbagi,Teilen,Compartidos
QR Authentication,qr,TITLE.LOGIN,LOGIN TO [STAN] SERVER,ĐỂ ĐĂNG NHẬP STAN SERVER,Stan 서버에 로그인,เข้าสู่เซิร์ฟเวอร์ของ Stan,CONNEXION AU SERVEUR [STAN],[STAN] サーバーへのログイン,MASUK KE SERVER [STAN],ANMELDUNG BEIM [STAN] SERVER,INICIA SESIÓN EN EL SERVIDOR [STAN]
,qr,REDIRECT_STEPS.STEP_1,Click on QR Code below,Nhấp vào Mã QR bên dưới,아래 QR코드 클릭,คลิก QR Code ด้านล่าง,Cliquez sur le code QR ci-dessous,下のQRコードをクリックしてください,Klik Kode QR di bawah ini,Klicken Sie auf den untenstehenden QR-Code,Haz clic en el código QR de abajo
,qr,REDIRECT_STEPS.STEP_2,Redirecting to [stan] app,Chúng tôi sẽ chuyển hướng bạn đến Ứng dụng Stan,Stan 앱으로 리디렉션,เรากำลังพาคุณไปยังแอป Stan,Redirection vers [stan] app,[stan] アプリにリダイレクトします,Mengalihkan ke aplikasi [stan],Weiterleitung zur [stan] App,Redirigiendo a la aplicación [stan]
,qr,TITLE.RELOAD,RELOAD QR CODE,TẢI LẠI MÃ QR,QR 코드 새로고침,โหลด QR Code ใหม่,RECHARGER LE CODE QR,QR コードを再読み込み,MUAT ULANG KODE QR,QR-CODE NEU LADEN,RECARGAR CÓDIGO QR
,qr,LOGIN_STEPS.STEP_1,Open [stan] mobile app,Mở ứng dụng Stan Mobile,Stan 모바일 앱 열기,เปิดแอป Stan บนมือถือ,Ouvir l'application mobile [stan],[stan] モバイルアプリを開く,Buka Aplikasi Seluler [stan],Öffnen Sie die [stan] Mobile App,Abrir la aplicación móvil [stan]
,qr,LOGIN_STEPS.STEP_2,Go to profile and Tap QR Code,Đi tới Hồ sơ và Nhấn vào Mã QR,프로필로 이동하여 QR 코드를 탭하세요.,ไปยังโปรไฟล์และกด QR Code,Allez dans Profil et tapez sur Code QR,プロフィールにアクセスし、QRコードをタップ,Buka Profil dan Ketuk Kode QR,Gehen Sie zum Profil und tippen Sie auf den QR-Code,Ve al perfil y toca el código QR
,qr,LOGIN_STEPS.STEP_3,Point your phone to this screen to capture the code,Hướng điện thoại của bạn vào màn hình này để chụp mã,코드를 캡처하려면 휴대전화로 이 화면을 가리키세요,ใช้มือถือถ่ายภาพ code บนหน้าจอ,Dirigez votre téléphone vers cet écran pour capturer le code.,コードをキャプチャするには、スマートフォンをこの画面に向けてください,Arahkan ponsel Anda ke layar ini untuk memindai kode,"Richten Sie Ihr Telefon auf diesen Bildschirm, um den Code zu erfassen",Apunta tu teléfono a esta pantalla para capturar el código
,qr,QR_AUTHENTICATION,QR Authentication,Xác thực QR,QR 인증,ตรวจสอบรหัส QR,Authentification QR,QR認証,Otentikasi QR,QR-Authentifizierung,Autenticación QR
NFT,nft,TITLE.FEE_SUMMARY,FEE SUMMARY,TÓM TẮT CHI PHÍ,수수료 요약,สรุปค่าธรรมเนียม,SOMMAIRE DES REDEVANCES,料金概要,RINGKASAN BIAYA,GEBÜHRENZUSAMMENFASSUNG,RESUMEN DE TARIFAS
,nft,TEXT.CREATOR_ROYALTY,Artist Royalty,Bản quyền của nhà sáng tạo,아티스트 로열티,ค่าสิทธิของผู้สร้าง,Redevance du créateur,クリエイターロイヤリティ,Royalti Pencipta,Schöpfer-Royalty,Regalía del creador
,nft,TEXT.SERVICE_FEE,Service Fee,Phí dịch vụ,서비스 수수료,ค่าบริการ,Frais de service,サービス料,Biaya Layanan,Servicegebühr,Tarifa de servicio
,nft,TEXT.TOTAL_EARNINGS,TOTAL EARNINGS,TỔNG DOANH THU,전체 수익,รายได้ทั้งหมด,TOTAL DES GAINS,総収益,TOTAL PENDAPATAN,GESAMTEINKOMMEN,GANANCIAS TOTALES
,common,BUTTON.ACCEPT,Accept,Chấp nhận,동의,ยอมรับ,Accepter,承認,Terima,Annehmen,Aceptar
,nft,TEXT.WAITING_MESSAGE,Waiting for blockchain confirmation...,Đang chờ xác nhận blockchain ...,블록체인 확인을 기다리는 중...,รอการยืนยัน Blockchain,En attente de la confirmation de la blockchain...,ブロックチェーンの確認を待っています...,Menunggu konfirmasi blockchain...,Warten auf Blockchain-Bestätigung...,Esperando la confirmación de la blockchain...
,nft,TEXT.PROCESSING,Processing...,Đang xử lý...,처리 중...,กำลังประมวลผล...,Traitement...,処理中...,Memproses...,Verarbeitung...,Procesando...
,common,BUTTON.VIEW_TRANSACTION,View Transaction,Xem giao dịch,거래 보기,ดูธุรกรรม,Voir la transaction,取引を表示,Lihat Transaksi,Transaktion anzeigen,Ver transacción
,common,TEXT.CONFIRMED_TRANSACTION,You just sold {{name}}. The transaction has been confirmed on the blockchain.,Bạn vừa bán {{name}}. Giao dịch đã được xác nhận trên blockchain.,방금 {{name}}을 판매했습니다. 거래는 블록체인에서 확인되었습니다.,คุณได้ทำการขาย {{name}} การโอนได้รับการยืนยันบน Blockchain เรียบร้อยแล้ว,Vous venez de vendre {{name}}. La transaction a été confirmée sur la blockchain.,{{name}} を販売しました。取引はブロックチェーン上で確認されました。,Anda baru saja menjual {{name}}. Transaksi telah dikonfirmasi di blockchain.,Sie haben gerade {{name}} verkauft. Die Transaktion wurde auf der Blockchain bestätigt.,Acabas de vender {{name}}. La transacción ha sido confirmada en la blockchain.
,common,BUTTON.DONE,DONE,HOÀN TẤT,완료,สำเร็จ,FAIT,完了,SELESAI,FERTIG,HECHO
,nft,TEXT.TRANSACTION_FAILED,Transaction failed. Please try again later.,Giao dịch không thành công. Vui lòng thử lại sau.,거래 실패! 나중에 다시 시도 하세요!,การโอนไม่สำเร็จ โปรดลองใหม่อีกครั้ง,La transaction a échoué. Veuillez réessayer plus tard.,処理に失敗しました。後でもう一度試してください。,Transaksi gagal. Silakan coba lagi nanti.,Transaktion fehlgeschlagen. Bitte versuchen Sie es später erneut.,"La transacción ha fallado. Por favor, inténtalo de nuevo más tarde."
,common,BUTTON.GO_BACK,Go back,Quay lại,돌아가기,ย้อนกลับ,Retourner,戻る,Kembali,Zurückgehen,Regresar
,nft,TEXT.TOTAL_AMOUNT,TOTAL AMOUNT,TỔNG CỘNG,총액,ยอดรวม,MONTANT TOTAL,合計数量,JUMLAH TOTAL,GESAMTBETRAG,CANTIDAD TOTAL
,nft,TEXT.BALANCE,Balance:,SỐ DƯ:,잔액:,ยอดคงเหลือ,Solde :,残高：,Saldo:,Saldo:,Saldo:
,common,BUTTON.BUY_NOW,Buy Now,Mua ngay,지금 구매,ซื้อตอนนี้,Acheter maintenant,今すぐ購入,Beli Sekarang,Jetzt kaufen,Comprar ahora
,nft,TEXT.CONFIRM_METAMASK,Please confirm transaction on Metamask,Vui lòng xác nhận giao dịch trên Metamask.,메타마스크에서 거래를 확인해주세요.,โปรดยืนยันการธุรกรรมบน Metamask,Veuillez confirmer la transaction sur Metamask.,メタマスクで取引を確認してください。,Mohon konfirmasi transaksi di Metamask.,Bitte bestätigen Sie die Transaktion auf Metamask.,"Por favor, confirma la transacción en Metamask."
,nft,TEXT.CANCEL_LISTING_NFT_SUCCESSFULLY,Cancel Listing NFT successful,Hủy bỏ Danh sách NFT thành công,NFT 리스팅 취소 성공,ยกเลิกการลงขาย NFT เรียบร้อยแล้ว,Annulation de l'inscription NFT réussie,NFT の出品を正常にキャンセルしました,Pembatalan Pencatatan NFT berhasil,NFT-Listing erfolgreich storniert,Cancelación exitosa del listado de NFT
,nft,TEXT.INSUFFICIENT_FUND,Insufficent Funds,Quỹ không chính thức,자금 부족,ทุนไม่เพียงพอ,Fonds insuffisants,資金不足,Dana tidak cukup,Nicht ausreichende Mittel,Fondos insuficientes
,common,BUTTON.RECHARGE,Recharge,Nạp lại,재충전,เติมเงิน,Recharge,再チャージ,Isi ulang,Aufladen,Recargar
,common,BUTTON.CANCEL_NOW,Cancel Now ,Huỷ ngay,지금 취소,ยกเลิกทันที,Annuler maintenant,今すぐキャンセル,Batalkan Sekarang,Jetzt stornieren,Cancelar ahora
,nft,TEXT.CANCEL_COMPLETED,CANCEL COMPLETED,HOÀN THÀNH HỦY BỎ,취소 완료,ยกเลิกสำเร็จ,ANNULATION TERMINÉE,キャンセル完了,BATAL SELESAI,STORNIERUNG ABGESCHLOSSEN,CANCELACIÓN COMPLETADA
,nft,TEXT.FAILED_TRANSACTION,FAILED TRANSACTION,GIAO DỊCH THẤT BẠI,거래 실패,โอนไม่สำเร็จ,TRANSACTION ÉCHOUÉE,トランザクション失敗,TRANSAKSI GAGAL,TRANSAKTION GESCHEITERT,TRANSACCIÓN FALLIDA
,nft,TEXT.CANCELLING_LISTINGS_DESCRIPTION,Cancelling listings will unpublish them on [stan] marketplace and requires a transaction to make sure they will never be fulfillable,Việc hủy danh sách của bạn sẽ xóa chúng trên Stan Marketplace và yêu cầu một giao dịch để đảm bảo rằng chúng sẽ không bao giờ có thể thực hiện được,"리스팅을 취소하면 stan마켓플레이스에서 게시가 취소되며, 거래가 없었는지 확인이 필요해요!",เมื่อได้มีการยกเลิกสินค้าที่ลงขาย รายการสินค้านั้นจะหายไปจาก Stan มาร์เก็ตเพลส และการทำธุรกรรมเพื่อให้มั่นใจได้ว่าสินค้านั้นจะไม่มีวันกลับมาได้อีก,L'annulation d'une annonce entraîne sa dépublication sur la place de marché [stan] et nécessite une transaction pour s'assurer qu'elle ne sera plus jamais réalisable,出品を取り消すと、[stan]マーケットプレイスでの公開が解除され、出品が履行されないことを確認するための取引が必要になります。,Membatalkan pencatatan akan menghapusnya dari pasar [stan] dan perlu transaksi untuk memastikan pencatatan tidak dapat dipenuhi,"Das Stornieren von Listings führt dazu, dass sie auf dem [stan]-Marktplatz nicht mehr veröffentlicht werden, und erfordert eine Transaktion, um sicherzustellen, dass sie nie erfüllt werden können",La cancelación de los listados los despublicará en el mercado [stan] y requerirá una transacción para asegurarse de que nunca se puedan cumplir
,common,BUTTON.GO_BACK,GO BACK,QUAY LẠI,돌아가기,ย้อนกลับ,RETOURNER,戻る,KEMBALI,ZURÜCKGEHEN,REGRESAR
,common,BUTTON.CONFIRM,CONFIRM,XÁC NHẬN,확인,ยืนยัน,CONFIRMER,確定,KONFIRMASI,BESTÄTIGEN,CONFIRMAR
,common,MSG.MAX_SIZE_IMAGE_100MB,Image must be smaller than 100MB!,Hình ảnh phải nhỏ hơn 100MB!,이미지는 100MB보다 작아야 합니다!,ขนาดภาพต้องน้อยกว่า 100MB!,L'image doit être inférieure à 100Mo !,画像は100MB未満でなければなりません！,Gambar harus lebih kecil dari 100MB!,Bild muss kleiner als 100MB sein!,¡La imagen debe ser menor de 100MB!
,common,MSG.MAX_SIZE_IMAGE_10MB,Image must be smaller than 10MB!,Hình ảnh phải nhỏ hơn 10MB!,이미지는 10MB보다 작아야 합니다!,ขนาดภาพต้องน้อยกว่า 10MB!,L'image doit être inférieure à 10Mo !,画像は 10 MB 未満でなければなりません!,Gambar harus lebih kecil dari 10MB!,Bild muss kleiner als 10MB sein!,¡La imagen debe ser menor de 10MB!
,nft,TEXT.APPROVE_CRYPTO,Approve Crypto,Phê duyệt tiền điện tử,암호화폐 승인,อนุมัติ Crypto,Approuver le crypto,暗号通貨を承認,Setujui Kripto,Krypto genehmigen,Aprobar Crypto
,nft,TEXT.APPROVE_WETH_DESCRIPTION,"To make offer for the first time, you need to approve MATIC, which requires a one-time gas fee.","Để đưa ra đề nghị lần đầu tiên, bạn cần phải chấp thuận WETH, yêu cầu phí gas một lần.",처음으로 입찰하려면 일회성 가스 요금이 부과되는 MATIC을 승인해야 합니다.,เพื่อการเสนอราคาครั้งแรก คุณต้องอนุมัติ WETH และเสียค่าธรรมเนียมเพียงครั้งเดียว,"Pour faire une offre pour la première fois, vous devez approuver WETH, ce qui nécessite des frais de gaz uniques.",初めてオファーを行うには、WETHの承認が必要です。WETHには1回限りのガス料金が必要となります。,"Untuk membuat penawaran pertama kali, Anda harus menyetujui WETH, yang membutuhkan biaya gas satu kali.","Um das erste Mal ein Angebot zu machen, müssen Sie WETH genehmigen, was eine einmalige Gasgebühr erfordert.","Para hacer una oferta por primera vez, necesitas aprobar WETH, lo cual requiere una tarifa de gas única."
,nft,TEXT.CONFIRM_MAKE_OFFER,Confirm Make Offer,Xác nhận đưa ra đề nghị,입찰 확인,ยืนยันข้อเสนอ,Confirmer l'offre,オファーを確認,Konfirmasi membuat penawaran,Angebot bestätigen,Confirmar hacer oferta
,nft,TEXT.ACCEPT_SIGNATURE_REQUEST_MAKING_OFFER,Accept the signature request in your wallet to complete making offer,Chấp nhận yêu cầu chữ ký trong ví của bạn để hoàn tất việc đưa ra gọi vốn.,월렛에서 서명 요청을 수락하여 구매 제안을 완료하세요!,อนุมัติลายเซ็นดิจิทัลในกระเป๋าตังดิจิทัลเพื่อเป็นการเสร็จสิ้นข้อเสนอ,Acceptez la demande de signature dans votre portefeuille pour terminer l'offre.,ウォレット内の署名リクエストを受け入れてオファーを完了してください。,Terima permintaan tanda tangan di dompet Anda untuk menyelesaikan penawaran.,"Akzeptieren Sie die Signaturanforderung in Ihrer Wallet, um das Angebot abzuschließen.",Acepta la solicitud de firma en tu cartera para completar la oferta.
,common,MSG.MAKE_OFFER_NFT_SUCCESSFULLY,Make NFT Offer successful,Gọi vốn NFT thành công,NFT 입찰 성공!,เสนอราคา NFT สำเร็จ,Réussir une offre NFT,NFTオファーが完了しました,Buat penawaran NFT berhasil,NFT-Angebot erfolgreich erstellt,¡Hacer oferta de NFT con éxito!
,nft,TEXT.NFT_PRICE,NFT PRICE,GIÁ NFT,NFT 가격,ราคา NFT,PRIX NFT,NFT価格,HARGA NFT,NFT-PREIS,PRECIO DEL NFT
,common,MSG.NOT_ENOUGH_STF_TO_MAKE_OFFER,Not enough STF to make offer,Không đủ STF để đưa ra gọi vốn,입찰을 하기에 STF가 충분하지 않습니다., STF ไม่เพียงพอสำหรับการเสนอราคา,Pas assez de STF pour faire une offre,オファーを行うのに十分なSTFがありません,STF tidak cukup untuk membuat penawaran,"Nicht genug STF, um ein Angebot zu machen",No tienes suficientes STF para hacer una oferta
,nft,TEXT.EXPIRATION_PERIOD,EXPIRATION PERIOD,THỜI GIAN HẾT HẠN,만료 기간,ระยะเวลาหมดอายุ,PÉRIODE D'EXPIRATION,有効期限,PERIODE KEDALUWARSA,VERFALLSPERIODE,PERÍODO DE EXPIRACIÓN
,common,MSG.CANNOT_MAKE_OFFER,Can not make offer NFT with price < 0 ,Không thể gọi vốn NFT với giá <= 0.,가격이 0보다 작은 NFT 입찰을 만들 수 없어요!,ไม่สามารถเสนอราคา NFT ที่ต่ำกว่า 0,Impossible de faire une offre NFT avec un prix <= 0 .,価格 <= 0 の NFT をオファーすることはできません。,Tidak dapat melakukan penawaran NFT dengan harga <= 0.,Kann kein NFT-Angebot mit Preis <= 0 machen.,No se puede hacer una oferta de NFT con un precio <= 0.
,common,MSG.NFT_PRICE_MUST_NOT_BE_BLANK,NFT price must not be blank,Giá NFT không được để trống,NFT 가격은 비워둘 수 없어요!,ต้องใส่ราคา NFT ทุกครั้ง,Le prix NFT ne doit pas être laissé en blanc,NFT価格は空白のままにしないでください,Harga NFT tidak boleh dikosongkan,NFT-Preis darf nicht leer gelassen werden,El precio del NFT no debe dejarse en blanco
,common,MSG.PLEASE_TYPE_INPUT_PRICE,Please input price,Vui lòng nhập giá đầu vào,가격 입력,โปรดกรอกราคา,Veuillez saisir le prix,価格を入力してください,Silakan masukkan harga,Bitte Preis eingeben,"Por favor, introduce el precio"
,common,MSG.AMOUNT_CANNOT_EXCEED,"The amount cannot exceed 100,000,000,000,000",Số tiền không được vượt quá 100.000.000.000.000.000,"금액은 100,000,000,000,000을 초과할 수 없습니다.","หลักของจำนวนเงินไม่ควรเกิน 100,000,000,000,000",Le montant ne peut pas dépasser 100 000 000 000 000 000,"金額は100,000,000,000,000を超えることはできません",Jumlahnya tidak boleh melebihi 100.000.000.000.000,Der Betrag darf 100.000.000.000.000 nicht überschreiten,"La cantidad no puede exceder 100,000,000,000,000"
,common,MSG.INPUT_PRICE_MAX_18_DIGITS,The input price cannot be greater than 18 digits,Giá đầu vào không được vượt quá 18 chữ số,입력 가격은 18자리보다 클 수 없어요!,จำนวนเงินต้องไม่เกิด 18 หลัก,Le prix saisi ne peut être supérieur à 18 chiffres,入力価格は 18 桁を超えることはできません,Harga input tidak boleh lebih dari 18 digit,Der eingegebene Preis darf nicht mehr als 18 Stellen haben,El precio introducido no puede ser mayor de 18 dígitos
,nft,TEXT.DAYS,days,ngày,일,วัน,jours,日,hari,Tage,días
,nft,TEXT.DAY,day,ngày,일,วัน,jour,日,hari,Tag,día
,nft,TEXT.MONTHS,months,tháng,개월,เดือน,mois,ヶ月,bulan,Monate,meses
,nft,TEXT.MONTH,month,tháng,개월,เดือน,mois,ヶ月,bulan,Monat,mes
,common,MSG.NOT_ENOUGH_WETH,Not enough MATIC to make offer,Bạn không có đủ WETH để đặt giá thầu,제안할 수 있는 MATIC이 충분하지 않음,มี WETH ไม่เพียงพอต่อการเสนอราคา,Pas assez de WETH pour faire une offre,オファーをするには十分なWETHがありません,Tidak cukup WETH untuk membuat penawaran,"Nicht genug WETH, um ein Angebot zu machen",No tienes suficiente WETH para hacer una oferta
